group_id	group_order	file_order	source_path	research_path	repo_id	category	lines	bytes	group_research_path	status
group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	1	1	sources/os/plan9/9front/sys/src/9/arm64/bootargs.c	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/bootargs.c_research.md	9front	os-vfs	249	4361	Docs/researches/groups/group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7_research.md	ok
group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	1	2	sources/os/plan9/9front/sys/src/9/arm64/cache.v8.s	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/cache.v8.s_research.md	9front	os-vfs	212	3232	Docs/researches/groups/group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7_research.md	ok
group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	1	3	sources/os/plan9/9front/sys/src/9/arm64/clock.c	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/clock.c_research.md	9front	os-vfs	120	1559	Docs/researches/groups/group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7_research.md	ok
group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	1	4	sources/os/plan9/9front/sys/src/9/arm64/dat.h	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/dat.h_research.md	9front	os-vfs	223	3798	Docs/researches/groups/group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7_research.md	ok
group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	1	5	sources/os/plan9/9front/sys/src/9/arm64/devrtc.c	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/devrtc.c_research.md	9front	os-vfs	106	1522	Docs/researches/groups/group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7_research.md	ok
group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	1	6	sources/os/plan9/9front/sys/src/9/arm64/fns.h	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/fns.h_research.md	9front	os-vfs	172	4491	Docs/researches/groups/group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7_research.md	ok
group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	1	7	sources/os/plan9/9front/sys/src/9/arm64/fpu.c	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/fpu.c_research.md	9front	os-vfs	344	5460	Docs/researches/groups/group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7_research.md	ok
group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	1	8	sources/os/plan9/9front/sys/src/9/arm64/gic.c	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/gic.c_research.md	9front	os-vfs	319	7305	Docs/researches/groups/group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7_research.md	ok
group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	1	9	sources/os/plan9/9front/sys/src/9/arm64/init9.s	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/init9.s_research.md	9front	os-vfs	4	97	Docs/researches/groups/group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7_research.md	ok
group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	1	10	sources/os/plan9/9front/sys/src/9/arm64/io.h	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/io.h_research.md	9front	os-vfs	19	255	Docs/researches/groups/group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7_research.md	ok
