work_id	kind	output_path	source_label	source_count	input_bytes	lines	status
chunk_sources_block_storage_linux_dm_drivers_md_md_c_1_1_9804_57126c18ec71	CHUNK	Docs/researches/chunks/chunk_sources_block_storage_linux_dm_drivers_md_md_c_1_1_9804_57126c18ec71_research.md	sources/block-storage/linux-dm/drivers/md/md.c:1-9804	1	262137	9804	ok
chunk_sources_block_storage_linux_dm_drivers_md_md_c_2_9805_9951_21bffa5c4034	CHUNK	Docs/researches/chunks/chunk_sources_block_storage_linux_dm_drivers_md_md_c_2_9805_9951_21bffa5c4034_research.md	sources/block-storage/linux-dm/drivers/md/md.c:9805-9951	1	3723	147	ok
chunk_sources_block_storage_lvm2_lib_metadata_lv_manip_c_1_1_8704_40ee88714cc3	CHUNK	Docs/researches/chunks/chunk_sources_block_storage_lvm2_lib_metadata_lv_manip_c_1_1_8704_40ee88714cc3_research.md	sources/block-storage/lvm2/lib/metadata/lv_manip.c:1-8704	1	262125	8704	ok
chunk_sources_block_storage_lvm2_lib_metadata_lv_manip_c_2_8705_10224_419d11165acf	CHUNK	Docs/researches/chunks/chunk_sources_block_storage_lvm2_lib_metadata_lv_manip_c_2_8705_10224_419d11165acf_research.md	sources/block-storage/lvm2/lib/metadata/lv_manip.c:8705-10224	1	47037	1520	ok
chunk_sources_block_storage_mdadm_super_intel_c_1_1_9958_3eeee6bd3e54	CHUNK	Docs/researches/chunks/chunk_sources_block_storage_mdadm_super_intel_c_1_1_9958_3eeee6bd3e54_research.md	sources/block-storage/mdadm/super-intel.c:1-9958	1	262105	9958	ok
chunk_sources_block_storage_mdadm_super_intel_c_2_9959_13343_47434f495d98	CHUNK	Docs/researches/chunks/chunk_sources_block_storage_mdadm_super_intel_c_2_9959_13343_47434f495d98_research.md	sources/block-storage/mdadm/super-intel.c:9959-13343	1	96448	3385	ok
chunk_sources_cow_pools_bcachefs_tools_linux_unicode_utf8data_c_1_1_3268_fe075f187e2d	CHUNK	Docs/researches/chunks/chunk_sources_cow_pools_bcachefs_tools_linux_unicode_utf8data_c_1_1_3268_fe075f187e2d_research.md	sources/cow-pools/bcachefs-tools/linux/unicode/utf8data.c:1-3268	1	262070	3268	ok
chunk_sources_cow_pools_bcachefs_tools_linux_unicode_utf8data_c_2_3269_4124_1c474454cf03	CHUNK	Docs/researches/chunks/chunk_sources_cow_pools_bcachefs_tools_linux_unicode_utf8data_c_2_3269_4124_1c474454cf03_research.md	sources/cow-pools/bcachefs-tools/linux/unicode/utf8data.c:3269-4124	1	69216	856	ok
chunk_sources_cow_pools_bcachefs_tools_raid_tables_c_1_1_5550_593a78c75e17	CHUNK	Docs/researches/chunks/chunk_sources_cow_pools_bcachefs_tools_raid_tables_c_1_1_5550_593a78c75e17_research.md	sources/cow-pools/bcachefs-tools/raid/tables.c:1-5550	1	262115	5550	ok
chunk_sources_cow_pools_bcachefs_tools_raid_tables_c_2_5551_10950_5457c1428a40	CHUNK	Docs/researches/chunks/chunk_sources_cow_pools_bcachefs_tools_raid_tables_c_2_5551_10950_5457c1428a40_research.md	sources/cow-pools/bcachefs-tools/raid/tables.c:5551-10950	1	262044	5400	ok
chunk_sources_cow_pools_bcachefs_tools_raid_tables_c_3_10951_14696_0327d36dcc0b	CHUNK	Docs/researches/chunks/chunk_sources_cow_pools_bcachefs_tools_raid_tables_c_3_10951_14696_0327d36dcc0b_research.md	sources/cow-pools/bcachefs-tools/raid/tables.c:10951-14696	1	184636	3746	ok
chunk_sources_cow_pools_openzfs_cmd_zpool_zpool_main_c_1_1_9956_f84ed2fad383	CHUNK	Docs/researches/chunks/chunk_sources_cow_pools_openzfs_cmd_zpool_zpool_main_c_1_1_9956_f84ed2fad383_research.md	sources/cow-pools/openzfs/cmd/zpool/zpool_main.c:1-9956	1	262134	9956	ok
chunk_sources_cow_pools_openzfs_cmd_zpool_zpool_main_c_2_9957_13962_6f1c50fe1d65	CHUNK	Docs/researches/chunks/chunk_sources_cow_pools_openzfs_cmd_zpool_zpool_main_c_2_9957_13962_6f1c50fe1d65_research.md	sources/cow-pools/openzfs/cmd/zpool/zpool_main.c:9957-13962	1	109863	4006	ok
chunk_sources_cow_pools_openzfs_module_zfs_arc_c_1_1_8086_74cfd49eec7d	CHUNK	Docs/researches/chunks/chunk_sources_cow_pools_openzfs_module_zfs_arc_c_1_1_8086_74cfd49eec7d_research.md	sources/cow-pools/openzfs/module/zfs/arc.c:1-8086	1	262123	8086	ok
chunk_sources_cow_pools_openzfs_module_zfs_arc_c_2_8087_11797_914698d03929	CHUNK	Docs/researches/chunks/chunk_sources_cow_pools_openzfs_module_zfs_arc_c_2_8087_11797_914698d03929_research.md	sources/cow-pools/openzfs/module/zfs/arc.c:8087-11797	1	116009	3711	ok
chunk_sources_cow_pools_openzfs_module_zfs_spa_c_1_1_9129_9ff803a65085	CHUNK	Docs/researches/chunks/chunk_sources_cow_pools_openzfs_module_zfs_spa_c_1_1_9129_9ff803a65085_research.md	sources/cow-pools/openzfs/module/zfs/spa.c:1-9129	1	262084	9129	ok
chunk_sources_cow_pools_openzfs_module_zfs_spa_c_2_9130_11868_66790b2ff35c	CHUNK	Docs/researches/chunks/chunk_sources_cow_pools_openzfs_module_zfs_spa_c_2_9130_11868_66790b2ff35c_research.md	sources/cow-pools/openzfs/module/zfs/spa.c:9130-11868	1	78596	2739	ok
chunk_sources_local_fs_btrfs_linux_fs_btrfs_inode_c_1_1_8840_c02e9cd2b428	CHUNK	Docs/researches/chunks/chunk_sources_local_fs_btrfs_linux_fs_btrfs_inode_c_1_1_8840_c02e9cd2b428_research.md	sources/local-fs/btrfs-linux/fs/btrfs/inode.c:1-8840	1	262079	8840	ok
chunk_sources_local_fs_btrfs_linux_fs_btrfs_inode_c_2_8841_10805_c03661321e47	CHUNK	Docs/researches/chunks/chunk_sources_local_fs_btrfs_linux_fs_btrfs_inode_c_2_8841_10805_c03661321e47_research.md	sources/local-fs/btrfs-linux/fs/btrfs/inode.c:8841-10805	1	56053	1965	ok
chunk_sources_local_fs_btrfs_progs_check_main_c_1_1_10053_2da56e08050c	CHUNK	Docs/researches/chunks/chunk_sources_local_fs_btrfs_progs_check_main_c_1_1_10053_2da56e08050c_research.md	sources/local-fs/btrfs-progs/check/main.c:1-10053	1	262134	10053	ok
chunk_sources_local_fs_btrfs_progs_check_main_c_2_10054_11197_cfa2d051d725	CHUNK	Docs/researches/chunks/chunk_sources_local_fs_btrfs_progs_check_main_c_2_10054_11197_cfa2d051d725_research.md	sources/local-fs/btrfs-progs/check/main.c:10054-11197	1	31395	1144	ok
chunk_sources_local_fs_btrfs_progs_kernel_lib_tables_c_1_1_5550_75501801234d	CHUNK	Docs/researches/chunks/chunk_sources_local_fs_btrfs_progs_kernel_lib_tables_c_1_1_5550_75501801234d_research.md	sources/local-fs/btrfs-progs/kernel-lib/tables.c:1-5550	1	262135	5550	ok
chunk_sources_local_fs_btrfs_progs_kernel_lib_tables_c_2_5551_10362_216240e207a8	CHUNK	Docs/researches/chunks/chunk_sources_local_fs_btrfs_progs_kernel_lib_tables_c_2_5551_10362_216240e207a8_research.md	sources/local-fs/btrfs-progs/kernel-lib/tables.c:5551-10362	1	207309	4812	ok
chunk_sources_local_fs_e2fsprogs_lib_ext2fs_utf8data_h_1_1_3269_2bb4d7e366be	CHUNK	Docs/researches/chunks/chunk_sources_local_fs_e2fsprogs_lib_ext2fs_utf8data_h_1_1_3269_2bb4d7e366be_research.md	sources/local-fs/e2fsprogs/lib/ext2fs/utf8data.h:1-3269	1	262143	3269	ok
chunk_sources_local_fs_e2fsprogs_lib_ext2fs_utf8data_h_2_3270_4109_8951243e34b4	CHUNK	Docs/researches/chunks/chunk_sources_local_fs_e2fsprogs_lib_ext2fs_utf8data_h_2_3270_4109_8951243e34b4_research.md	sources/local-fs/e2fsprogs/lib/ext2fs/utf8data.h:3270-4109	1	68800	840	ok
chunk_sources_local_fs_kdave_linux_fs_btrfs_inode_c_1_1_8840_bde2cc1717a7	CHUNK	Docs/researches/chunks/chunk_sources_local_fs_kdave_linux_fs_btrfs_inode_c_1_1_8840_bde2cc1717a7_research.md	sources/local-fs/kdave-linux/fs/btrfs/inode.c:1-8840	1	262079	8840	ok
chunk_sources_local_fs_kdave_linux_fs_btrfs_inode_c_2_8841_10805_a31ddc542c3e	CHUNK	Docs/researches/chunks/chunk_sources_local_fs_kdave_linux_fs_btrfs_inode_c_2_8841_10805_a31ddc542c3e_research.md	sources/local-fs/kdave-linux/fs/btrfs/inode.c:8841-10805	1	56053	1965	ok
chunk_sources_local_fs_squashfs_tools_squashfs_tools_mksquashfs_c_1_1_9091_b669f446f92f	CHUNK	Docs/researches/chunks/chunk_sources_local_fs_squashfs_tools_squashfs_tools_mksquashfs_c_1_1_9091_b669f446f92f_research.md	sources/local-fs/squashfs-tools/squashfs-tools/mksquashfs.c:1-9091	1	262135	9091	ok
chunk_sources_local_fs_squashfs_tools_squashfs_tools_mksquashfs_c_2_9092_9227_e2e416a10caa	CHUNK	Docs/researches/chunks/chunk_sources_local_fs_squashfs_tools_squashfs_tools_mksquashfs_c_2_9092_9227_e2e416a10caa_research.md	sources/local-fs/squashfs-tools/squashfs-tools/mksquashfs.c:9092-9227	1	3892	136	ok
chunk_sources_os_bsd_freebsd_src_sbin_camcontrol_camcontrol_c_1_1_10176_dc522f0a1b7b	CHUNK	Docs/researches/chunks/chunk_sources_os_bsd_freebsd_src_sbin_camcontrol_camcontrol_c_1_1_10176_dc522f0a1b7b_research.md	sources/os/bsd/freebsd-src/sbin/camcontrol/camcontrol.c:1-10176	1	262134	10176	ok
chunk_sources_os_bsd_freebsd_src_sbin_camcontrol_camcontrol_c_2_10177_10823_ae1bc8d8b3e7	CHUNK	Docs/researches/chunks/chunk_sources_os_bsd_freebsd_src_sbin_camcontrol_camcontrol_c_2_10177_10823_ae1bc8d8b3e7_research.md	sources/os/bsd/freebsd-src/sbin/camcontrol/camcontrol.c:10177-10823	1	24058	647	ok
chunk_sources_os_bsd_freebsd_src_sys_fs_nfsclient_nfs_clrpcops_c_1_1_8651_6f1131018eac	CHUNK	Docs/researches/chunks/chunk_sources_os_bsd_freebsd_src_sys_fs_nfsclient_nfs_clrpcops_c_1_1_8651_6f1131018eac_research.md	sources/os/bsd/freebsd-src/sys/fs/nfsclient/nfs_clrpcops.c:1-8651	1	262123	8651	ok
chunk_sources_os_bsd_freebsd_src_sys_fs_nfsclient_nfs_clrpcops_c_2_8652_9979_6867bbc367d5	CHUNK	Docs/researches/chunks/chunk_sources_os_bsd_freebsd_src_sys_fs_nfsclient_nfs_clrpcops_c_2_8652_9979_6867bbc367d5_research.md	sources/os/bsd/freebsd-src/sys/fs/nfsclient/nfs_clrpcops.c:8652-9979	1	39746	1328	ok
chunk_sources_os_bsd_freebsd_src_sys_ufs_ffs_ffs_softdep_c_1_1_8878_8237500410aa	CHUNK	Docs/researches/chunks/chunk_sources_os_bsd_freebsd_src_sys_ufs_ffs_ffs_softdep_c_1_1_8878_8237500410aa_research.md	sources/os/bsd/freebsd-src/sys/ufs/ffs/ffs_softdep.c:1-8878	1	262108	8878	ok
chunk_sources_os_bsd_freebsd_src_sys_ufs_ffs_ffs_softdep_c_2_8879_15020_27b5e3ebbd0b	CHUNK	Docs/researches/chunks/chunk_sources_os_bsd_freebsd_src_sys_ufs_ffs_ffs_softdep_c_2_8879_15020_27b5e3ebbd0b_research.md	sources/os/bsd/freebsd-src/sys/ufs/ffs/ffs_softdep.c:8879-15020	1	176949	6142	ok
chunk_sources_os_bsd_openbsd_src_sbin_unwind_libunbound_services_authzone_c_1__e93fdf9bc36e	CHUNK	Docs/researches/chunks/chunk_sources_os_bsd_openbsd_src_sbin_unwind_libunbound_services_authzone_c_1__e93fdf9bc36e_research.md	sources/os/bsd/openbsd-src/sbin/unwind/libunbound/services/authzone.c:1-8713	1	262124	8713	ok
chunk_sources_os_bsd_openbsd_src_sbin_unwind_libunbound_services_authzone_c_2__675bbb0bf2bb	CHUNK	Docs/researches/chunks/chunk_sources_os_bsd_openbsd_src_sbin_unwind_libunbound_services_authzone_c_2__675bbb0bf2bb_research.md	sources/os/bsd/openbsd-src/sbin/unwind/libunbound/services/authzone.c:8714-8828	1	2592	115	ok
